year,name,content,area,budget_submitted,budget_approved,account,department,type,vendor
101,,豐里里後壁坑等二處農路改善工程,玉井區,310,380,農業工程及農路改善,農業局,公開招標,南億營造有限公司
101,,層林里後坑往第七公墓農路崩塌改善工程,玉井區,2400,2150,農業工程及農路改善,農業局,公開招標,東千營造股份有限公司
101,,南化區西埔里十六元仔農路改善工程,南化區,1282,1492,農業工程及農路改善,農業局,公開招標,宏昌土木包工業
101,,西庄PC農路改善工程,官田區,103.5,120,農業工程及農路改善,農業局,公開招標,聯豐土木包工業
101,,善化區小新里重劃區外農路改善工程,善化區,4080,1500,農業工程及農路改善,農業局,公開招標,百利土木包工業
101,,100-灣丘香梅三號橋農路改善工程,楠西區,395,579,農業工程及農路改善,農業局,公開招標,佑吉營造有限公司
101,,白河區仙草里南96線旁農路（木屐寮小段67-21地號）改善工程,白河區,622.5,580,農業工程及農路改善,農業局,公開取得,昇峰土木包工業
101,,白河區觀嶺里六重溪段135-21-21地號旁排水改善工程,白河區,1300,1058,農業工程及農路改善,農業局,公開招標,岦珅營造有限公司
101,,白河區六溪里頂埔農路（六重溪段172-1地號）擋土牆改善工程,白河區,222,360,農業工程及農路改善,農業局,公開取得,昇峰土木包工業
101,,崎頂里崎腳農路改善工程,龍崎區,661.2,390,農業工程及農路改善,農業局,公開招標,新志發營造有限公司
101,,土坑里農路改善工程,柳營區,350,224,農業工程及農路改善,農業局,公開招標,松右土木包工業
101,,土崎里土崎腳農路改善工程,龍崎區,400,108,農業工程及農路改善,農業局,公開招標,新志發營造有限公司
101,,玉峰里牛稠埔堤防農路改善工程,山上區,1014,660,農業工程及農路改善,農業局,公開招標,三和土木包工業
101,,明和里竹仔頭農路改善工程,山上區,787.5,728,農業工程及農路改善,農業局,公開招標,三和土木包工業
101,,100王爺里東高蚋往夢之湖道路邊坡改善工程,六甲區,286,753,農業工程及農路改善,農業局,公開招標,正在土木包工業
101,,口宵里段530、530-6地號農路改善工程,玉井區,0,708,農業工程及農路改善,農業局,公開招標,南億營造有限公司
101,,火燒店重劃區外農路路面舖設工程,柳營區,920,970,農業工程及農路改善,農業局,公開招標,宏達土木包工業
101,,歸仁區武東里武東二街農路及農田排水改善工程,歸仁區,3573.2,3696,農業工程及農路改善,農業局,公開招標,榮發土木包工業
101,,白河區仙草里（木屐寮段103地號旁）排水改善工程,白河區,3040,853,農業工程及農路改善,農業局,公開招標,岦珅營造有限公司
101,,101年度臺南市南區同安里等處農路改善工程,南區,4170,4170,農業工程及農路改善,農業局,公開招標,利成土木包工業
101,,新營區太北里新太路330巷AC路面改善工程,新營區,1485,1372,農業工程及農路改善,農業局,公開招標,金林土木包工業
101,,南化區小崙里照東農路修復工程,南化區,3238,1866,農業工程及農路改善,農業局,公開招標,佳泰土木包工業
101,,七股區義合里產業道路改善工程,七股區,782,560,農業工程及農路改善,農業局,公開取得,朝立營造有限公司
101,,歸仁區武東里武東三街農田排水改善工程,歸仁區,1500,1485,農業工程及農路改善,農業局,公開招標,維信土木包工業
101,,新化區東榮里中興路587巷農路改善工程,新化區,580,434,農業工程及農路改善,農業局,公開招標,招盛土木包工業
101,,白河區崁頭里（崁仔頭段335地號旁）農路改善工程,白河區,248.75,263,農業工程及農路改善,農業局,公開取得,駿霖營造有限公司
101,,白河區六溪里（六重溪段652地號旁）農路改善工程,白河區,315,320,農業工程及農路改善,農業局,公開取得,駿霖營造有限公司
101,,東山區南勢里後坑尾農路改善工程,東山區,3285,2000,農業工程及農路改善,農業局,公開招標,益成土木包工業
101,,東山區南勢里後坑農路改善工程,東山區,225,300,農業工程及農路改善,農業局,公開招標,宏益土木包工業
101,,東山區南勢里龜子山農路改善工程,東山區,900,300,農業工程及農路改善,農業局,公開招標,宏益土木包工業
101,,明和里林投巷農路改善工程,山上區,5000,3530,農業工程及農路改善,農業局,公開招標,上仁土木包工業
101,,100-鹿田大坪農路改善工程,楠西區,682,636,農業工程及農路改善,農業局,公開招標,佑吉營造有限公司
101,,100-密枝社區後農路改善工程,楠西區,1215,238,農業工程及農路改善,農業局,公開招標,久明土木包工業
101,,100-灣丘打石坎農路改善工程,楠西區,1200,380,農業工程及農路改善,農業局,公開招標,振忠土木包工業
101,,草山里中寮農路路面改善工程,左鎮區,900,840,農業工程及農路改善,農業局,公開招標,盈興土木包工業
101,,光山道路往二坑農路支線AC路面改善工程,左鎮區,1100,1155,農業工程及農路改善,農業局,公開招標,金拓土木包工業
101,,澄山里風櫃嘴AC路面改善工程,左鎮區,2000,700,農業工程及農路改善,農業局,公開招標,金拓土木包工業
101,,南化區南化里大草崙農路改善工程,南化區,150,120,農業工程及農路改善,農業局,公開招標,佳泰土木包工業
101,,南化區北平里檨仔湖坑農路改善工程,南化區,630,822,農業工程及農路改善,農業局,公開招標,水旺土木包工業
101,,玉井區望明里粉間農路改善工程,玉井區,750,420,農業工程及農路改善,農業局,公開招標,和晟營造有限公司
101,,玉井區中正里鹿陶一號農路邊排水改善工程,玉井區,450,317,農業工程及農路改善,農業局,公開招標,南億營造有限公司
101,,玉井區中正里斗六莿仔埔農路改善工程,玉井區,250,101,農業工程及農路改善,農業局,辦理發包中,
101,,玉井區層林里樹王農路支線改善工程,玉井區,650,682,農業工程及農路改善,農業局,公開招標,南億營造有限公司
101,,官田區西庄高鐵橋下AC路面改善工程,官田區,2100,1837,農業工程及農路改善,農業局,公開招標,日鑫土木包工業
101,,澄山里風空農路路面改善工程,左鎮區,950,1400,農業工程及農路改善,農業局,公開招標,鍵豐土木包工業
101,,澄山里大寮農路路面改善工程,左鎮區,300,432,農業工程及農路改善,農業局,公開取得,鍵豐土木包工業
101,,光和里光山道路（八德高分113右7至八德高分123）路面改善工程,左鎮區,1600,1470,農業工程及農路改善,農業局,公開招標,金拓土木包工業
101,,大內區環湖里燒灰農路改善工程,大內區,200,250,農業工程及農路改善,農業局,公開招標,進佶營造有限公司
101,,大內區環湖里尖山農路排水改善工程,大內區,900,800,農業工程及農路改善,農業局,公開招標,新志發營造有限公司
101,,大內區二溪頂大坪農路排水改善工程,大內區,900,700,農業工程及農路改善,農業局,公開招標,進佶營造有限公司
101,,大內區二溪大埔產業道路改善工程,大內區,636,1020,農業工程及農路改善,農業局,公開招標,進佶營造有限公司
101,,龍船里水崛坪農路改善工程,龍崎區,576,50,農業工程及農路改善,農業局,公開招標,芳年土木包工業
101,,100-照興山仔嶺農路改善工程,楠西區,899.53,276,農業工程及農路改善,農業局,公開招標,佑吉營造有限公司
101,,100-密枝頭前山農路改善工程,楠西區,1128.75,1206,農業工程及農路改善,農業局,公開招標,南億營造有限公司
101,,大內區二溪登山橋旁農路改善工程,大內區,690,720,農業工程及農路改善,農業局,公開招標,進佶營造有限公司
101,,大內區內郭里頭社高幹55左1旁農路改善工程,大內區,950.4,600,農業工程及農路改善,農業局,公開招標,永大土木包工業
101,,佳里區建南里農路改善工程,佳里區,735,263,農業工程及農路改善,農業局,公開取得,大承土木包工業
101,,新化區五甲勢聚落西側產業道路改善工程,新化區,1000,1417,農業工程及農路改善,農業局,公開招標,招盛土木包工業
101,,南化區小崙里湖底往金宗禪寺農路改善工程,南化區,3500,1225,農業工程及農路改善,農業局,公開招標,銀泰土木包工業
101,,光和里王萊宅農路路面改善工程,左鎮區,4000,1400,農業工程及農路改善,農業局,公開招標,金拓土木包工業
101,,南化區南化里蘇真埔農路改善工程,南化區,180,50,農業工程及農路改善,農業局,公開招標,冠頂土木包工業
101,,玉井區中正里鹿陶三號農路排水改善工程,玉井區,1465,1390,農業工程及農路改善,農業局,公開招標,南億營造有限公司
101,,玉井區三埔里三條溝農路支線等三處改善工程,玉井區,250,36,農業工程及農路改善,農業局,公開招標,南億營造有限公司
101,,玉井區沙田里坑內牛稠坑農路改善工程,玉井區,1075,862,農業工程及農路改善,農業局,公開招標,明進土木包工業
101,,新化區大坑里大坑尾往紅嘴仔擋土牆及排水改善工程,新化區,1180,1151,農業工程及農路改善,農業局,公開招標,弘岱營造股份有限公司
101,,學甲區瓦寮西側產業道路改善工程,學甲區,1580,1120,農業工程及農路改善,農業局,公開招標,永道營造股份有限公司
101,,學甲區秀昌里掩埋場東側產業道路改善工程,學甲區,450,390,農業工程及農路改善,農業局,公開招標,吉田土木包工業
101,,東山區東原里大坑農路改善工程,東山區,486,320,農業工程及農路改善,農業局,公開招標,奕昌土木包工業
101,,睦光里埤內農路排水溝新建工程,左鎮區,300,258,農業工程及農路改善,農業局,公開取得,盈興土木包工業
101,,光山道路澄山國小至澄山教會路段AC路面改善工程,左鎮區,1800,1180,農業工程及農路改善,農業局,公開招標,堆高營造工程有限公司
101,,南化區南化里大草崙農路修復工程,南化區,712,839,農業工程及農路改善,農業局,公開招標,佳泰土木包工業
101,,大內區二溪牛場產業道路改善工程,大內區,1250,1150,農業工程及農路改善,農業局,公開招標,進佶營造有限公司
101,,北門區二重港地區產業道路路面改善工程,北門區,1600,730,農業工程及農路改善,農業局,公開招標,世全土木包工業
101,,北平里過苓仔農路改善工程,南化區,270,216,農業工程及農路改善,農業局,公開招標,佳泰土木包工業
101,,新化區大坑里大坑尾227號旁農路改善工程,新化區,230,118,農業工程及農路改善,農業局,公開招標,招盛土木包工業
101,,玉井區望明里松腳16鄰路基改善工程,玉井區,350,238,農業工程及農路改善,農業局,公開招標,冠頂土木包工業
101,,玉井區望明里土地公山農路支線(王瑞良田邊)路基改善工程,玉井區,500,475,農業工程及農路改善,農業局,公開招標,協順土木包工業
101,,玉井區三和里崁下農路支線改善工程,玉井區,200,200,農業工程及農路改善,農業局,公開招標,協順土木包工業
